source_state,vm_count,cache_backing,round,application_ready_seconds_baseline,application_ready_seconds_variant,application_ready_seconds_improvement_percent,first_operation_seconds_baseline,first_operation_seconds_variant,first_operation_seconds_improvement_percent,held_memory_bytes_baseline,held_memory_bytes_variant,held_memory_bytes_improvement_percent,held_anon_bytes_baseline,held_anon_bytes_variant,held_anon_bytes_improvement_percent,held_file_bytes_baseline,held_file_bytes_variant,held_file_bytes_improvement_percent,held_shmem_bytes_baseline,held_shmem_bytes_variant,held_shmem_bytes_improvement_percent,launch_memory_growth_bytes_baseline,launch_memory_growth_bytes_variant,launch_memory_growth_bytes_improvement_percent,launch_cpu_usec_baseline,launch_cpu_usec_variant,launch_cpu_usec_improvement_percent,launch_io_wbytes_baseline,launch_io_wbytes_variant,launch_io_wbytes_improvement_percent,total_pss_kib_baseline,total_pss_kib_variant,total_pss_kib_improvement_percent
plaintext-cold,4,memfd,10,0.83998803,0.673571068,19.811825413750242,0.003082448,0.003405469,-10.479365750857765,344358912.0,324169728.0,5.8628318584070795,100753408.0,97742848.0,2.9880478087649402,227491840.0,209018880.0,8.120273676629457,226590720.0,208109568.0,8.156182212581346,335196160.0,313937920.0,6.342029693896254,2311336.0,1890376.0,18.212843134879567,770048.0,770048.0,0.0,295763.0,278601.0,5.802618988852561
plaintext-cold,8,file,1,1.341886789,2.089332099,-55.70107077043443,0.003676806,0.00344221,6.3804291006922895,647794688.0,593174528.0,8.431708535405589,174112768.0,156729344.0,9.984003011197892,443490304.0,406593536.0,8.319633522359938,430014464.0,393994240.0,8.376514516497751,637435904.0,583135232.0,8.51860895491698,4350032.0,10744376.0,-146.99533244812912,13238272.0,12419072.0,6.188118811881188,579141.0,528237.0,8.789569379477538
plaintext-cold,8,file,2,1.338988545,1.19463804,10.780563100336307,0.003919816,0.003294679,15.948121034252619,657321984.0,591577088.0,10.001931716922464,183619584.0,152965120.0,16.69455040264115,443351040.0,408092672.0,7.95269770879527,430014464.0,395563008.0,8.011697020498362,647094272.0,582066176.0,10.0492461166462,4535664.0,4048043.0,10.750818402774104,13238272.0,12419072.0,6.188118811881188,583630.0,530084.0,9.174648321710672
plaintext-cold,8,file,3,1.311627794,1.118370613,14.734148047490986,0.003261634,0.002851673,12.569190779836118,654618624.0,592596992.0,9.474467991915855,181841920.0,154402816.0,15.089537110034914,443351040.0,408866816.0,7.778085735402808,430014464.0,396341248.0,7.83071706164749,644579328.0,581558272.0,9.77708301560673,4382233.0,3754741.0,14.319001294545497,13238272.0,12419072.0,6.188118811881188,581326.0,527752.0,9.215827263876035
plaintext-cold,8,file,4,1.218718067,1.127903387,7.451656167168321,0.003962621,0.003214742,18.873341659472363,647946240.0,592797696.0,8.511283899108667,175239168.0,153841664.0,12.210457424678026,443346944.0,409006080.0,7.745821746320643,430014464.0,396341248.0,7.83071706164749,638128128.0,583098368.0,8.623622370709851,4393036.0,3633531.0,17.288840792563505,13238272.0,12419072.0,6.188118811881188,574338.0,526501.0,8.329067552556161
plaintext-cold,8,file,5,1.327175719,1.068916374,19.459318107069734,0.003458093,0.003312584,4.2077815720976925,644218880.0,597585920.0,7.238682604272635,171212800.0,160010240.0,6.543062200956938,443445248.0,408100864.0,7.970405401660771,430014464.0,395563008.0,8.011697020498362,634187776.0,586973184.0,7.4448915268906095,4261870.0,3851349.0,9.632414878914656,13238272.0,12419072.0,6.188118811881188,576108.0,528163.0,8.322224305165003
plaintext-cold,8,file,6,1.530823859,1.030674954,32.671878090972456,0.00503341,0.002921822,41.951440474747734,666660864.0,596897792.0,10.464551883459594,192847872.0,158027776.0,18.05573255171828,443363328.0,408752128.0,7.806509427861386,430014464.0,396230656.0,7.856435266326297,656646144.0,586686464.0,10.654091345733997,7337057.0,3672952.0,49.93971015899154,13238272.0,12419072.0,6.188118811881188,590886.0,527958.0,10.649770006397173
plaintext-cold,8,file,7,1.447833623,2.430285064,-67.856653236461,0.004179269,0.003336742,20.159673856839557,670932992.0,589185024.0,12.18422241486673,197488640.0,152092672.0,22.986622420408587,443351040.0,407662592.0,8.04970436067997,430014464.0,395038720.0,8.133620361197897,661192704.0,579461120.0,12.361235008425018,4624874.0,15553846.0,-236.30853510819972,13238272.0,12419072.0,6.188118811881188,595756.0,526831.0,11.569333754087245
plaintext-cold,8,file,8,1.356014074,1.117598715,17.582071128267657,0.003327465,0.003158851,5.067341053925438,660611072.0,595587072.0,9.843007899207599,187068416.0,157868032.0,15.609467714742397,443465728.0,408084480.0,7.9783500203199464,430014464.0,395563008.0,8.011697020498362,649953280.0,585302016.0,9.947063271993951,4662617.0,3700282.0,20.63937484035253,13238272.0,12419072.0,6.188118811881188,585692.0,532848.0,9.022489636191036
plaintext-cold,8,file,9,1.294178135,1.780629599,-37.58767443555985,0.003553271,0.003511569,1.1736228393500026,659992576.0,593760256.0,10.035312882064904,186671104.0,159031296.0,14.80668802387326,443371520.0,404877312.0,8.682156219686822,430014464.0,392327168.0,8.764192638878306,649302016.0,584314880.0,10.008768554324032,4306071.0,8987749.0,-108.72273123225324,13238272.0,12419072.0,6.188118811881188,584833.0,526805.0,9.92214871595823
