source_state,vm_count,comparison,left_mode,baseline_mode,metric,unit,rounds,left_median,left_p95,baseline_median,baseline_p95,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,improvement_pct_median,improvement_pct_ci_low,improvement_pct_ci_high,left_better_rounds,equal_rounds
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_write_mib,MiB,10,11.890625,11.890625,0.734375,0.734375,11.15625,11.15625,11.15625,-1519.148936170213,-1519.148936170213,-1519.148936170213,0,0
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,application_ready_seconds,s,10,0.888864329,1.1956096959499996,1.4678714785,1.6483654940999997,-0.5856762705,-0.711711241,-0.46590318300000005,39.03467284949298,32.469541880855864,48.33704156078634,10,0
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,first_operation_ms,ms,10,3.357268,5.449741549999998,5.865116,9.2502098,-2.6498515000000005,-4.105802000000001,-2.250444,42.759513507802716,39.340190705663325,54.91090079921819,9,0
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,held_memory_mib,MiB,10,308.841796875,312.4369140625,435.978515625,438.6341796875,-126.7265625,-128.875,-122.81640625,29.06658907639456,28.378144744422322,29.472621525761404,10,0
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,total_pss_mib,MiB,10,275.234375,278.10947265625,409.09423828125,414.539453125,-134.48388671875,-136.4599609375,-131.9501953125,32.85897141193025,32.26753040265835,33.20547644393949,10,0
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_cpu_seconds,s,10,1.905961,2.8709570999999983,7.8720935,9.3718404,-5.8643345,-6.3973125,-5.545325999999999,75.30271561682645,73.95471956794611,77.1126752973361,10,0
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.0775390624999999,0.0,0.12929687499999998,0.0,-0.0625,0.0,100.0,85.29411764705883,100.0,3,6
plaintext-cold,4,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_write_mib,MiB,10,11.109375,11.109375,0.734375,0.734375,10.375,10.375,10.375,-1412.7659574468084,-1412.7659574468084,-1412.7659574468084,0,0
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,application_ready_seconds,s,10,0.888864329,1.1956096959499996,0.9693818775,1.2329969414000002,-0.14943720350000006,-0.2320195925000001,0.03153491999999991,15.826671182179686,-3.1226534613246213,21.018423725187265,7,0
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,first_operation_ms,ms,10,3.357268,5.449741549999998,3.325393,20.691824449999967,0.24831250000000016,-0.24275049999999987,0.6734175000000002,-8.07371318645593,-19.49614755866297,7.0602482403330304,4,0
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,held_memory_mib,MiB,10,308.841796875,312.4369140625,341.509765625,348.058984375,-33.798828125,-36.98046875,-29.251953125,9.885589831969462,8.668870795447699,10.630151137460981,10,0
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,total_pss_mib,MiB,10,275.234375,278.10947265625,296.935546875,304.3818359375,-22.38916015625,-25.439453125,-20.3359375,7.54133377596867,6.882624545956325,8.449147959002863,10,0
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_cpu_seconds,s,10,1.905961,2.8709570999999983,2.163927,2.3110537,-0.2527944999999999,-0.32085149999999996,-0.14044149999999989,11.682124659377598,6.414177284467121,14.629810095494323,9,0
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_read_mib,MiB,10,0.0,0.0775390624999999,0.0,0.012890624999999975,0.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,1,8
plaintext-cold,4,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_write_mib,MiB,10,11.109375,11.109375,11.890625,11.890625,-0.78125,-0.78125,-0.78125,6.57030223390276,6.57030223390276,6.57030223390276,10,0
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,application_ready_seconds,s,10,1.347554954,1.5848474941,2.8010426969999997,3.56456933505,-1.578120776,-1.9550556879999998,-1.212944664,56.338312908812995,45.2446749981861,59.158693424232425,10,0
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,first_operation_ms,ms,10,3.6591205,4.2256219,6.5044260000000005,12.845378249999996,-2.9416605000000002,-4.7668315,-2.2854209999999995,42.7379358971655,37.8151549541592,56.559223290186075,10,0
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,held_memory_mib,MiB,10,628.0703125,639.3267578125001,835.638671875,844.0484375,-208.091796875,-208.80078125,-199.421875,24.768779879458258,24.13205564607091,25.00984067478913,10,0
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,total_pss_mib,MiB,10,570.708984375,581.4320312499999,795.552734375,802.688720703125,-223.6953125,-227.1201171875,-221.45751953125,28.14373113827768,27.657159438100603,28.649174459795855,10,0
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_cpu_seconds,s,10,4.556072,8.126191649999999,22.789286,31.598980799999996,-18.513572500000002,-24.409442,-15.8630795,80.48841083511223,72.93859003786122,84.48957765564063,10,0
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.002148437499999996,0.0,0.10917968749999996,0.0,-0.044921875,0.0,100.0,66.66666666666666,100.0,3,7
plaintext-cold,8,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_write_mib,MiB,10,12.625,12.625,1.46875,1.46875,11.15625,11.15625,11.15625,-759.5744680851064,-759.5744680851064,-759.5744680851064,0,0
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,application_ready_seconds,s,10,1.1120189150000002,1.5291120054999996,2.8010426969999997,3.56456933505,-1.6239802305,-2.121996333,-1.5217187349999999,60.5993656603918,54.81577825867606,65.44464671621324,10,0
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,first_operation_ms,ms,10,3.462329,6.917103849999997,6.5044260000000005,12.845378249999996,-2.7997274999999995,-3.498132,-1.8243200000000002,45.02570814922713,19.054302636668307,50.267156924821926,10,0
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,held_memory_mib,MiB,10,566.63671875,579.1011718750001,835.638671875,844.0484375,-266.0,-271.03125,-258.67568359375,32.0233931803257,31.00226897111964,32.404410631471286,10,0
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,total_pss_mib,MiB,10,517.7578125,523.1307617187499,795.552734375,802.688720703125,-277.32373046875,-283.7392578125,-271.0322265625,34.862810936998116,34.12205649455092,35.53372933612663,10,0
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_cpu_seconds,s,10,3.8186165,4.02465565,22.789286,31.598980799999996,-19.066626,-25.073808,-18.344772,83.93517383198699,82.8654894576803,86.32042592392173,10,0
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.14140624999999998,0.0,0.10917968749999996,0.0,-0.044921875,0.06640625,100.0,-1166.6666666666665,100.0,2,6
plaintext-cold,8,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_write_mib,MiB,10,11.84375,11.84375,1.46875,1.46875,10.375,10.375,10.375,-706.3829787234042,-706.3829787234042,-706.3829787234042,0,0
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,application_ready_seconds,s,10,1.1120189150000002,1.5291120054999996,1.347554954,1.5848474941,-0.24980720899999997,-0.3659016934999999,-0.015142313000000018,18.24416263155808,0.789387384295785,25.351430942106212,8,0
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,first_operation_ms,ms,10,3.462329,6.917103849999997,3.6591205,4.2256219,-0.05588700000000024,-0.47282350000000006,0.9904360000000003,1.4793092284625686,-28.71852039293094,12.788129728769412,5,0
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,held_memory_mib,MiB,10,566.63671875,579.1011718750001,628.0703125,639.3267578125001,-62.36328125,-69.337890625,-54.615234375,9.94475518338757,8.708255870072676,10.896157799459086,10,0
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,total_pss_mib,MiB,10,517.7578125,523.1307617187499,570.708984375,581.4320312499999,-52.9140625,-59.32861328125,-48.7119140625,9.328334280781826,8.502754760291124,10.297996327993014,10,0
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_cpu_seconds,s,10,3.8186165,4.02465565,4.556072,8.126191649999999,-0.8141784999999999,-2.1447125,-0.5081850000000001,17.712484094736226,11.174215604960251,34.643797848342054,10,0
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_read_mib,MiB,10,0.0,0.14140624999999998,0.0,0.002148437499999996,0.0,0.0,0.06640625,-3700.0,-3700.0,-3700.0,0,8
plaintext-cold,8,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_write_mib,MiB,10,11.84375,11.84375,12.625,12.625,-0.78125,-0.78125,-0.78125,6.188118811881188,6.188118811881188,6.188118811881188,10,0
